strategy,run_id,n_steps,final_fraction,t_50,t_90,auc,tau,seed_fraction
random,6,36,0.3308249908550014,-1.0,-1.0,10.585638246250552,0.05,0.05
degree,7,18,0.6525871014460296,3.0,-1.0,11.02995080364008,0.05,0.05
random,8,36,0.3290482482661829,-1.0,-1.0,10.642531335617717,0.05,0.05
random,7,36,0.33724515315073195,-1.0,-1.0,10.905795316267648,0.05,0.05
random,0,62,0.34204534426253985,-1.0,-1.0,19.591707539211523,0.05,0.05
degree,8,18,0.6525871014460296,3.0,-1.0,11.02995080364008,0.05,0.05
degree,9,18,0.6525871014460296,3.0,-1.0,11.02995080364008,0.05,0.05
betweenness,0,19,0.6944525318581891,3.0,-1.0,12.399647637604234,0.05,0.05
random,9,44,0.33776772450038445,-1.0,-1.0,13.498585324703443,0.05,0.05
betweenness,1,19,0.6944525318581891,3.0,-1.0,12.399647637604234,0.05,0.05
betweenness,2,19,0.6944525318581891,3.0,-1.0,12.399647637604234,0.05,0.05
betweenness,3,19,0.6944525318581891,3.0,-1.0,12.399647637604234,0.05,0.05
betweenness,4,19,0.6944525318581891,3.0,-1.0,12.399647637604234,0.05,0.05
betweenness,5,19,0.6944525318581891,3.0,-1.0,12.399647637604234,0.05,0.05
betweenness,6,19,0.6944525318581891,3.0,-1.0,12.399647637604234,0.05,0.05
betweenness,7,19,0.6944525318581891,3.0,-1.0,12.399647637604234,0.05,0.05
betweenness,8,19,0.6944525318581891,3.0,-1.0,12.399647637604234,0.05,0.05
betweenness,9,19,0.6944525318581891,3.0,-1.0,12.399647637604234,0.05,0.05
random,2,17,0.01594589146939598,-1.0,-1.0,0.23034198562182256,0.1,0.0025
random,5,23,0.01876031145252439,-1.0,-1.0,0.3751763678305077,0.1,0.0025
random,0,30,0.01859607474263361,-1.0,-1.0,0.4954797578255059,0.1,0.0025
random,1,34,0.020036878606675475,-1.0,-1.0,0.57502258254761,0.1,0.0025
random,7,21,0.01842437272774779,-1.0,-1.0,0.32123953924137566,0.1,0.0025
random,8,26,0.01758079326330877,-1.0,-1.0,0.39744537263069873,0.1,0.0025
random,4,35,0.01914104200727121,-1.0,-1.0,0.5671392204728524,0.1,0.0025
degree,0,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.1,0.0025
random,3,38,0.017521070823348486,-1.0,-1.0,0.6021141743745942,0.1,0.0025
random,6,31,0.01839451150776765,-1.0,-1.0,0.5027136383656954,0.1,0.0025
random,9,29,0.02544175942308123,-1.0,-1.0,0.6006957664255372,0.1,0.0025
degree,1,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.1,0.0025
degree,2,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.1,0.0025
degree,5,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.1,0.0025
degree,3,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.1,0.0025
degree,4,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.1,0.0025
degree,6,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.1,0.0025
degree,7,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.1,0.0025
degree,8,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.1,0.0025
degree,9,30,0.2837114510313319,-1.0,-1.0,7.388412353586704,0.1,0.0025
betweenness,1,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.1,0.0025
