node,degree,strategy,adoption_time,tau,seed_fraction
ForcevilleCJ,4,random,1,0.05,0.0025
KamiloğluRG,17,random,1,0.05,0.0025
RienksK,15,random,1,0.05,0.0025
ChristopoulouM,11,random,1,0.05,0.0025
PorambageP,11,random,1,0.05,0.0025
BenzaidC,11,random,1,0.05,0.0025
VassiliouV,35,random,1,0.05,0.0025
ArtuñedoGuillénD,11,random,1,0.05,0.0025
TsolkasD,11,random,1,0.05,0.0025
AvgerisM,11,random,1,0.05,0.0025
KilperD,11,random,1,0.05,0.0025
BoschHJ,5,random,1,0.05,0.0025
vanVlietL,16,random,1,0.05,0.0025
IagattiA,19,random,1,0.05,0.0025
BrucklacherM,9,random,1,0.05,0.0025
AghapourE,5,random,1,0.05,0.0025
BeijerS,14,random,1,0.05,0.0025
BossS,6,random,1,0.05,0.0025
BurgerJA,19,random,1,0.05,0.0025
FelderM,13,random,1,0.05,0.0025
HernandezG,11,random,1,0.05,0.0025
LorenzJP,15,random,1,0.05,0.0025
MajumderA,3,random,1,0.05,0.0025
SwatmanSN,8,random,1,0.05,0.0025
BouchèG,13,random,1,0.05,0.0025
SoeharnoJ,6,random,1,0.05,0.0025
AbajobirA,12,random,1,0.05,0.0025
DeGrootR,5,random,1,0.05,0.0025
SidzeEM,11,random,1,0.05,0.0025
vanGilsL,12,random,1,0.05,0.0025
YanF,38,random,1,0.05,0.0025
ScholtesU,9,random,1,0.05,0.0025
LavéantK,6,random,1,0.05,0.0025
vanAmsterdamW,16,random,1,0.05,0.0025
KeoghR,16,random,1,0.05,0.0025
KrijtheJH,16,random,1,0.05,0.0025
vanOmmenT,24,random,1,0.05,0.0025
PutterH,19,random,1,0.05,0.0025
vanSmedenM,16,random,1,0.05,0.0025
SperrinM,16,random,1,0.05,0.0025
WeirDL,16,random,1,0.05,0.0025
DidelezV,16,random,1,0.05,0.0025
HouwerzijlM,14,random,1,0.05,0.0025
ZekicN,4,random,1,0.05,0.0025
AranguizA,5,random,1,0.05,0.0025
Garcia-MunozA,4,random,1,0.05,0.0025
EuropeanCopyrightSociety,9,random,1,0.05,0.0025
AmanatidisG,14,random,1,0.05,0.0025
vanderWeeleJJ,16,random,1,0.05,0.0025
LindM,3,random,1,0.05,0.0025
ZeijlstraH,15,random,1,0.05,0.0025
LuhnJ,19,random,1,0.05,0.0025
WalawenderJ,19,random,1,0.05,0.0025
HennessyA,18,random,1,0.05,0.0025
GuoXZ,15,random,1,0.05,0.0025
XiongGZ,15,random,1,0.05,0.0025
BrandsmaSH,9,random,1,0.05,0.0025
GouldM,20,random,1,0.05,0.0025
MurphyJMA,19,random,1,0.05,0.0025
PremnathP,19,random,1,0.05,0.0025
LogsdonSE,19,random,1,0.05,0.0025
DietvorstRC,12,random,1,0.05,0.0025
TortajadaM,6,random,1,0.05,0.0025
FahrenfortJJSLAMPV,6,random,1,0.05,0.0025
PalmeroLB,6,random,1,0.05,0.0025
CastilloA,14,random,1,0.05,0.0025
FuentesLJ,6,random,1,0.05,0.0025
CampoyG,6,random,1,0.05,0.0025
GualtieriG,18,random,1,0.05,0.0025
Duque-CalvacheR,2,random,1,0.05,0.0025
MetzgerA,18,random,1,0.05,0.0025
RognstadOA,7,random,1,0.05,0.0025
vanOphemH,20,random,1,0.05,0.0025
DanowskiW,15,random,1,0.05,0.0025
SardjanAS,11,random,1,0.05,0.0025
HouJ,11,random,1,0.05,0.0025
DomínguezMP,9,random,1,0.05,0.0025
GillathOAAI,17,random,1,0.05,0.0025
AbubakarA,19,random,1,0.05,0.0025
AutinF,17,random,1,0.05,0.0025
BrassardA,17,random,1,0.05,0.0025
CarcedoRJ,17,random,1,0.05,0.0025
CatzO,17,random,1,0.05,0.0025
ConnerTS,17,random,1,0.05,0.0025
IgarashiT,17,random,1,0.05,0.0025
