year,authors
2025,"vanderPalZ, GeurtsHM, HaslbeckJMB, vanKeekenA, BruijnAM, DouwL, vanRooijD, FrankeB, BuitelaarJLRN, HartmanC, OosterlaanJ, LumanM, RenemanL, HoekstraPJ, BlankenTF, SchranteeA"
2025,"vanderVlistFN, HelmondA, DieterM, WeltevredeE"
2025,"ÓFathaighR, BuijsD, vanHobokenJ"
2025,"EhrhardtT, RothenbergG"
2025,BoM
2025,"BaglamisS, SheratonVM, vanNeervenSM, LogiantaraA, NijmanLE, HagemanLA, LéveilléN, ElbersCC, BijlsmaMF, VermeulenL, KrawczykPM, LenosKJ"
2025,"HabichtY, SchoenmakersJ"
2025,"StraznickyJI, IedemaPD, RemerieK, McAuleyKB"
2025,"ArienzoM, GrinkoD, KlieschM, HeinrichM"
2025,GaynorLJ
2025,"WangC, PérezdeAlbaOrtízA, DijkstraM"
2025,"vanBloklandEAEM, vanderHorstN"
2025,"deBelV, BokányiE, HankK, LeopoldT"
2025,"JacobsS, LiebrechtC"
2025,"ChâtelBDL, QuaxR, PeetersG, CortenR, OldeRikkertMGM, VasconcelosVV"
2025,"SundeHMEEP, RosenkrantzLindegaardM"
2025,"BabicM, LinsiL"
2025,"BellandM, KausanBY, KooyM, ZwarteveenM"
2025,"BervoetsL, vanderMeulenJ, VerhoevenG, VermoesenR, LewisS"
2025,"CangönülM, ŞahinTemelVN"
2025,"ConradiHJ, KamphuisJH"
2025,EngelbertsM
2025,"FrankF, BaumgartnerB, VerstuyftM, TeigellBeneitezN, MissinneJ, VanThourhoutD, RoelkensG, LendlB"
2025,FöllmerM
2025,"HollowayP, ThelenS, McCullaghD, TangneyP, VeenenbosKR, vanderHorstSVJ, O'LearyA, BerminghamS, O'BrienC, O'LearyN"
2025,"HuntjensA, vandenBoschLMC, SizooB, KerkhofA, SmitF, vanderGaagM"
2025,IseniaWJ
2025,"JonesE, UnderhillGR"
2025,"KosterM, MannsdörferL, vanderPluijmM, deHaanL, ZiermansT, vanWingenG, VermeulenJ"
2025,"KruitPM, BredewegB, NieuwelinkH"
2025,"LaffineurC, KasperJ, teBrinkeLW, BakkerBN, SchumacherG"
2025,"LarsenJK, MarkusW, WiersRW, deJonghA"
2025,"LaustsenL, ShengX, AhmadMGASL, BanaiB, BanaiIP, BarlevM, BastardozN, BorA, ChengJT, ChmielińskaA, CookA, FousianiK, GarfieldZH, GhossainyM, HaSE, JiT, JonesBC, KandrikM, vanVugtM"
2025,"LimJ, SouikiA, AhmadP, OomenCA, Huisin'tVeldGJ, LansinkCS, PennartzCMA, OlceseU"
2025,"MesslingL, LuY, vanEckCW"
2025,"MunawarNA, NassarI"
2025,"NijstadBA, HomanAC, HeerdinkMW, vanKleefGA"
2025,"NunezMD, SchubertAL, FrischkornGT, OberauerK"
2025,"PiaseckiS, HelbergerN"
2025,"PotharstES, KraakmanR, BögelsSM, ColonnesiC"
2025,QuintaisJP
2025,SaviniF
2025,"SchruppRiveroF, WillemsJ, KaikaM"
2025,"SmilgesJL, GreenbergS"
2025,VerhelstB
2025,"VottaF, DobberT, GuinaudeauB, HelbergerN, deVreeseC"
2025,"WestlundO, CarlsonM, HamadaB, HelbergerN, LechelerS, LewisSC, QuandtT, ReeseSD, SalaverríaR, SaldañaM, ThomsonTJWJK, WuS"
2025,"WiegersmaAM, BootsA, LangendamMW, LimpensJ, ShenkinSD, KorosiA, RoseboomTJ, deRooijSR"
2025,"WiersRW, UrbanMentalHealthResearchers, ElMarrounH, BocktingC, KrugersH"
2025,"WittenbergY, KwekkeboomR, deBoerAH, VerhoeffAP"
2025,"Yardımcı-GeyikçiŞ, DuyvendakJW"
2025,"ZavalaBarredaK, RiederB"
2025,"deJongVO, BonoF"
2025,"van'tHofE, DeuzeM"
2025,"vanBaakC, HoebenEM, LiebstLS, WeeninkD, LindegaardMR"
2025,"vanLentLGG, vanWeertJCM, deJongeMJA, vanderHamMODHE, LolkemaMP, vanMilM, GortEH, vanGurpJLP, HasselaarJ, vanderRijtCCD"
2025,"vanderVlistF, WeltevredeE"
2025,"MoreniG, ZouL, PennartzCMA, MejiasJF"
2025,"BazinPL, GrootJM, MileticS, GroenewegenL, TruttiAC, MulderMJ, ForstmannBU, AlkemadeA"
2025,"GooijerSCAS, SharmaS, GiancolaSGMJR, VlugtTJH, DubbeldamDVLJM, CaleroS"
2025,VerlaanT
2025,"vandenBosW, vanderWalA"
2025,CoolsH
2025,"FarmiloeG, BejczyV, TabolacciE, WillemsenR, JacobsF"
2025,vanGaalenR
2025,"KalbS, RijsdijkK, DeGroeveJ, DenkersL, vanLoonE, FoufopoulosJ"
2025,"CoolsH, deVreeseC, AliAE, HelbergerN, PrajodP, MattisN, MorosoliS, NaudtsL, WeikmannT"
2025,"PinheiroFL, VasconcelosVV"
2025,"MaglicicM, VasconcelosVV"
2025,vanGentW
2025,"SundararajanP, FerrariP, BrünkenS, BumaWJ, CandianA, TielensA"
2025,"Escolà-FarràsL, HasJ, OzolsM, SchaffnerC, TahmasbiM"
2025,"WoolleyJM, RodriguesNDN, ToldoJM, RiouxB, GrovesC, SchramaX, AlarcanJ, AbiolaTT, MentionMM, doCasalMT, GreenoughSE, BorjaM, BumaWJ, AshfoldMNR, BraeuningA, MunnikT, FranklinKA, AllaisF, BarbattiM, StavrosVG"
2025,HänelR
2025,"GispenW, BolhuisPG, DijkstraM"
2025,"HartKP, vanMillJ"
