strategy,time_step,mean_fraction,std_fraction,tau,seed_fraction
random,8,0.04897016117593484,0.010258589533209099,0.15,0.0025
random,9,0.06651586750576695,0.016815184803068674,0.15,0.0025
random,10,0.09362238994274111,0.028626747480652887,0.15,0.0025
random,11,0.13612461087097713,0.05016990571238775,0.15,0.0025
random,12,0.20027994893731385,0.08011688110877112,0.15,0.0025
random,13,0.2942718714773092,0.113430991264435,0.15,0.0025
random,14,0.4281374810567885,0.14112367653163435,0.15,0.0025
random,15,0.587075317462095,0.14846146592060608,0.15,0.0025
random,16,0.7334423267862609,0.1246051208382469,0.15,0.0025
random,17,0.8371943890767657,0.0859878536200285,0.15,0.0025
random,18,0.9044612662650333,0.05545968644507413,0.15,0.0025
random,19,0.947090397378185,0.03673911310621811,0.15,0.0025
random,20,0.9706135734175421,0.020321552438002585,0.15,0.0025
random,21,0.9803416123565729,0.007296866294046368,0.15,0.0025
random,22,0.9833247482325891,0.0011721878648008768,0.15,0.0025
random,23,0.9838152187707628,0.0004733785680815279,0.15,0.0025
random,24,0.983902313995705,0.0002981919807208959,0.15,0.0025
random,25,0.9840628180530983,0.00027665645434594283,0.15,0.0025
random,26,0.9840824766895852,0.000296241889627233,0.15,0.0025
random,27,0.9837331004158175,0.0,0.15,0.0025
betweenness,0,0.004994289041678797,0.0,0.15,0.005
betweenness,1,0.2155532164266571,0.0,0.15,0.005
betweenness,2,0.3465693190895314,0.0,0.15,0.005
betweenness,3,0.6177091965092234,0.0,0.15,0.005
betweenness,4,0.8260509283106762,0.0,0.15,0.005
betweenness,5,0.9312146797757423,0.0,0.15,0.005
betweenness,6,0.9660552581875732,0.0,0.15,0.005
betweenness,7,0.9776787380648436,0.0,0.15,0.005
betweenness,8,0.9815532313572671,0.0,0.15,0.005
betweenness,9,0.9828596597313982,0.0,0.15,0.005
betweenness,10,0.983210529066165,0.0,0.15,0.005
betweenness,11,0.9833673004710606,0.0,0.15,0.005
betweenness,12,0.9835539330959367,0.0,0.15,0.005
betweenness,13,0.9836061902309019,0.0,0.15,0.005
betweenness,14,0.9836061902309019,0.0,0.15,0.005
degree,0,0.004994289041678797,0.0,0.15,0.005
degree,1,0.23413436055930065,0.0,0.15,0.005
degree,2,0.3707793031884318,0.0,0.15,0.005
degree,3,0.6038237292184572,0.0,0.15,0.005
degree,4,0.7923824027830657,0.0,0.15,0.005
degree,5,0.9115734623338037,0.0,0.15,0.005
degree,6,0.9592394347271058,0.0,0.15,0.005
degree,7,0.9748717833867102,0.0,0.15,0.005
degree,8,0.9806200682328876,0.0,0.15,0.005
degree,9,0.9822549700268004,0.0,0.15,0.005
degree,10,0.9830313617462842,0.0,0.15,0.005
degree,11,0.9832851821161153,0.0,0.15,0.005
degree,12,0.9834643494359963,0.0,0.15,0.005
degree,13,0.9835166065709615,0.0,0.15,0.005
degree,14,0.9835166065709615,0.0,0.15,0.005
random,0,0.004994289041678797,0.0,0.15,0.005
random,1,0.012439437713227775,0.0005527468973330228,0.15,0.005
random,2,0.016048166147827968,0.000665199682234201,0.15,0.005
random,3,0.022953573268235876,0.0009442687856025937,0.15,0.005
random,4,0.029693997148253493,0.001743749229815275,0.15,0.005
random,5,0.039654207072629954,0.003185657125093107,0.15,0.005
random,6,0.05256321247004546,0.005215093677724911,0.15,0.005
random,7,0.07068822646749233,0.008628031393001353,0.15,0.005
random,8,0.0973132367322867,0.013647231478152002,0.15,0.005
random,9,0.13809694445066553,0.023571158333611668,0.15,0.005
random,10,0.20552357916582684,0.04131919377141195,0.15,0.005
random,11,0.31638037222010706,0.07185156445405,0.15,0.005
random,12,0.47892843012101255,0.09984856432372435,0.15,0.005
random,13,0.6583712197561831,0.09498102181574414,0.15,0.005
random,14,0.8022478033340052,0.059251777393980826,0.15,0.005
random,15,0.884372877053892,0.03198691711619035,0.15,0.005
random,16,0.934419535210111,0.02378775936489875,0.15,0.005
random,17,0.9681627137876718,0.014218524777788216,0.15,0.005
random,18,0.9816525199137012,0.002357185206696338,0.15,0.005
random,19,0.9836853224638492,0.0007207720937005969,0.15,0.005
random,20,0.9842026681000051,0.00037252545143042696,0.15,0.005
