strategy,time_step,mean_fraction,std_fraction,tau,seed_fraction
betweenness,14,0.4533903682634953,0.0,0.05,0.01
betweenness,15,0.4551447149373288,0.0,0.05,0.01
betweenness,16,0.4564138167864848,0.0,0.05,0.01
betweenness,17,0.45763066150067566,0.0,0.05,0.01
betweenness,18,0.45843691444013945,0.0,0.05,0.01
betweenness,19,0.45899681231476713,0.0,0.05,0.01
betweenness,20,0.4593775428695139,0.0,0.05,0.01
betweenness,21,0.45969855098430046,0.0,0.05,0.01
betweenness,22,0.4599299754391465,0.0,0.05,0.01
betweenness,23,0.46013900397900753,0.0,0.05,0.01
betweenness,24,0.4602285876389479,0.0,0.05,0.01
betweenness,25,0.4602659141639231,0.0,0.05,0.01
betweenness,26,0.4603032406888984,0.0,0.05,0.01
betweenness,27,0.46031070599389345,0.0,0.05,0.01
betweenness,28,0.46031070599389345,0.0,0.05,0.01
degree,0,0.009996043388352631,0.0,0.05,0.01
degree,1,0.1412808970310482,0.0,0.05,0.01
degree,2,0.22270497861190117,0.0,0.05,0.01
degree,3,0.2832112755966645,0.0,0.05,0.01
degree,4,0.326756399632707,0.0,0.05,0.01
degree,5,0.3586855090964741,0.0,0.05,0.01
degree,6,0.3824102483706972,0.0,0.05,0.01
degree,7,0.3996998947391996,0.0,0.05,0.01
degree,8,0.41206243981097845,0.0,0.05,0.01
degree,9,0.42087896501011557,0.0,0.05,0.01
degree,10,0.42691093144610426,0.0,0.05,0.01
degree,11,0.43162900420296674,0.0,0.05,0.01
degree,12,0.4351302322456384,0.0,0.05,0.01
degree,13,0.43792972161877675,0.0,0.05,0.01
degree,14,0.43971392951259025,0.0,0.05,0.01
degree,15,0.44080386404186545,0.0,0.05,0.01
degree,16,0.4416549088112995,0.0,0.05,0.01
degree,17,0.44221480668592716,0.0,0.05,0.01
degree,18,0.44258807193567895,0.0,0.05,0.01
degree,19,0.4428568229155002,0.0,0.05,0.01
degree,20,0.4429911984054108,0.0,0.05,0.01
degree,21,0.4431031779803364,0.0,0.05,0.01
degree,22,0.4432076922502669,0.0,0.05,0.01
degree,23,0.44326741469022723,0.0,0.05,0.01
degree,24,0.44326741469022723,0.0,0.05,0.01
random,0,0.009996043388352631,0.0,0.05,0.01
random,1,0.01977559293184923,0.0009026332756368543,0.05,0.01
random,2,0.02872649362089688,0.001266791845356735,0.05,0.01
random,3,0.03624629534239621,0.0013564506881171346,0.05,0.01
random,4,0.042806058841533975,0.0015045218760959005,0.05,0.01
random,5,0.04849462124775108,0.0019003466273005223,0.05,0.01
random,6,0.05309996789918851,0.0023509915521636826,0.05,0.01
random,7,0.05707972199204199,0.0027424856855187865,0.05,0.01
random,8,0.060413727202824875,0.0029267808393264724,0.05,0.01
random,9,0.06321545616746173,0.0030063764587000314,0.05,0.01
random,10,0.06576187170126835,0.003223200605612356,0.05,0.01
random,11,0.06796413667480386,0.003517997641222637,0.05,0.01
random,12,0.06953632990675834,0.003694604842529913,0.05,0.01
random,13,0.07100848805177935,0.003665014171158878,0.05,0.01
random,14,0.0721700895090069,0.003591264696820407,0.05,0.01
random,15,0.07308384284039923,0.0035766088468407444,0.05,0.01
random,16,0.07386172762088196,0.0034925005682935337,0.05,0.01
random,17,0.07448508058796742,0.003463581957154363,0.05,0.01
random,18,0.07499794704112636,0.0034664512251758903,0.05,0.01
random,19,0.07546154248131808,0.0034725520608381365,0.05,0.01
random,20,0.0758213701820788,0.0035052153154514734,0.05,0.01
random,21,0.07611177054638567,0.003539251330846087,0.05,0.01
random,22,0.0763081080677551,0.0035648567133586798,0.05,0.01
random,23,0.07647458436914441,0.0035785373805645674,0.05,0.01
random,24,0.07661045292005406,0.0035894461664657392,0.05,0.01
random,25,0.07737622731687815,0.003170599442920484,0.05,0.01
random,26,0.07748323002180697,0.0031623111362427186,0.05,0.01
random,27,0.07812161728367412,0.002873744719191368,0.05,0.01
random,28,0.07823919583734593,0.002903785508424276,0.05,0.01
random,29,0.07877603125189966,0.0028459158973344785,0.05,0.01
random,30,0.07921136518032444,0.002336882536675888,0.05,0.01
random,31,0.07954282472210403,0.002679888528268828,0.05,0.01
random,32,0.07962494307704941,0.002704227091337497,0.05,0.01
random,33,0.0789580424974929,0.0027806064850636122,0.05,0.01
random,34,0.0807148776063246,0.0006123370631313901,0.05,0.01
random,35,0.0808193918762551,0.0007495850255573988,0.05,0.01
random,36,0.08092763879868312,0.0009026692913402463,0.05,0.01
random,37,0.08182720805058491,0.0,0.05,0.01
random,38,0.08196904884549058,0.0,0.05,0.01
random,39,0.08208849372541115,0.0,0.05,0.01
random,40,0.08220047330033668,0.0,0.05,0.01
random,41,0.0822452651303069,0.0,0.05,0.01
random,42,0.08229752226527215,0.0,0.05,0.01
random,43,0.08231245287526222,0.0,0.05,0.01
random,44,0.08231991818025726,0.0,0.05,0.01
random,45,0.08232738348525229,0.0,0.05,0.01
random,46,0.08233484879024733,0.0,0.05,0.01
random,47,0.08233484879024733,0.0,0.05,0.01
betweenness,0,0.019999552081700296,0.0,0.05,0.02
betweenness,1,0.2153367225818011,0.0,0.05,0.02
betweenness,2,0.3256216732734616,0.0,0.05,0.02
betweenness,3,0.401454241413033,0.0,0.05,0.02
betweenness,4,0.45283047038886776,0.0,0.05,0.02
betweenness,5,0.4881936201503512,0.0,0.05,0.02
betweenness,6,0.5122319022343658,0.0,0.05,0.02
betweenness,7,0.5282823079736922,0.0,0.05,0.02
betweenness,8,0.5395922450411712,0.0,0.05,0.02
betweenness,9,0.5478787335856606,0.0,0.05,0.02
betweenness,10,0.5534777123319373,0.0,0.05,0.02
betweenness,11,0.5577254708741126,0.0,0.05,0.02
betweenness,12,0.5605324255522459,0.0,0.05,0.02
betweenness,13,0.5625928497308758,0.0,0.05,0.02
betweenness,14,0.5641605637798333,0.0,0.05,0.02
betweenness,15,0.5652504983091085,0.0,0.05,0.02
betweenness,16,0.5658626533187013,0.0,0.05,0.02
betweenness,17,0.5663031063134084,0.0,0.05,0.02
betweenness,18,0.5666091838182049,0.0,0.05,0.02
betweenness,19,0.5668555388830411,0.0,0.05,0.02
betweenness,20,0.567034706202922,0.0,0.05,0.02
betweenness,21,0.567258665352773,0.0,0.05,0.02
betweenness,22,0.5674826245026241,0.0,0.05,0.02
betweenness,23,0.5676020693825446,0.0,0.05,0.02
betweenness,24,0.5677065836524752,0.0,0.05,0.02
betweenness,25,0.5677588407874403,0.0,0.05,0.02
betweenness,26,0.5677961673124156,0.0,0.05,0.02
betweenness,27,0.5678185632274007,0.0,0.05,0.02
betweenness,28,0.5678334938373907,0.0,0.05,0.02
betweenness,29,0.5678558897523759,0.0,0.05,0.02
betweenness,30,0.5678558897523759,0.0,0.05,0.02
degree,0,0.019999552081700296,0.0,0.05,0.02
